detection_id,pixel_x,pixel_y,lat_deg,lon_deg,symbol_class,tri_overlap,dot_overlap,confidence,blob_area_px2,solidity,elevation_ocr
702,3512,3273,37.879151,-76.963044,obstacle,0.8551,0.0,MEDIUM,116,0.5631,
703,2337,3282,37.873319,-78.159756,obstacle,0.6301,0.0,LOW,115,0.5529,
704,3255,3291,37.867487,-77.224793,obstacle,0.75,0.0,MEDIUM,105,0.5412,
705,2260,3298,37.862952,-78.238178,obstacle,0.8382,0.0,MEDIUM,108,0.5567,
706,2689,3301,37.861008,-77.801251,obstacle,0.9344,0.0,HIGH,104,0.5389,
707,8251,3304,37.859064,-72.136476,obstacle,0.7941,0.0,MEDIUM,119,0.6071,
708,3424,3308,37.856472,-77.05267,obstacle,0.9508,0.0,HIGH,113,0.5736,
709,2300,3309,37.855824,-78.197439,obstacle,0.8191,0.0,MEDIUM,173,0.5134,
710,3594,3317,37.85064,-76.879529,obstacle,0.7101,0.0,LOW,114,0.5729,
711,1629,3318,37.849992,-78.880838,obstacle,0.7941,0.0,MEDIUM,104,0.5445,
712,2278,3323,37.846752,-78.219846,obstacle,0.7794,0.0,MEDIUM,117,0.5764,
713,2424,3325,37.845456,-78.071148,obstacle,0.8382,0.0,MEDIUM,122,0.6131,
714,2573,3334,37.839624,-77.919395,obstacle,0.7794,0.0,MEDIUM,117,0.5939,
715,1580,3347,37.8312,-78.930743,obstacle,0.8406,0.0,MEDIUM,125,0.5924,
716,2044,3353,37.827312,-78.45817,obstacle,0.9836,0.0,HIGH,108,0.5775,
717,3576,3353,37.827312,-76.897861,obstacle,0.6812,0.0,LOW,107,0.5194,
718,2896,3355,37.826017,-77.590426,obstacle,0.6765,0.0,LOW,104,0.5503,
719,2449,3358,37.824073,-78.045686,obstacle,0.7941,0.0,MEDIUM,119,0.601,
720,2764,3365,37.819537,-77.724865,obstacle,0.8088,0.0,MEDIUM,106,0.5464,
721,3285,3374,37.813705,-77.194238,obstacle,0.7536,0.0,MEDIUM,111,0.5578,
722,2384,3396,37.799449,-78.111887,obstacle,0.8235,0.0,MEDIUM,108,0.5373,
723,1810,3402,37.795561,-78.696494,obstacle,0.8361,0.0,MEDIUM,119,0.6041,
724,3078,3403,37.794913,-77.405063,obstacle,0.8116,0.0,MEDIUM,112,0.5333,
725,3181,3404,37.794265,-77.30016,obstacle,0.8793,0.0,MEDIUM,110,0.5729,
726,3300,3413,37.788434,-77.178961,obstacle,0.8824,0.0,MEDIUM,117,0.5764,
727,2630,3416,37.78649,-77.861341,obstacle,0.9508,0.0,HIGH,106,0.555,
728,1769,3417,37.785842,-78.738251,obstacle,0.9531,0.0,HIGH,127,0.6019,
729,3010,3419,37.784546,-77.47432,obstacle,0.8088,0.0,MEDIUM,106,0.5492,
730,2008,3423,37.781954,-78.494835,obstacle,0.7353,0.0,LOW,111,0.5692,
731,2341,3427,37.779362,-78.155682,obstacle,0.7794,0.0,MEDIUM,105,0.5276,
732,8271,3432,37.776122,-72.116107,obstacle,0.8448,0.0,MEDIUM,108,0.5684,
733,3596,3433,37.775474,-76.877492,obstacle,0.7681,0.0,MEDIUM,121,0.5874,
734,2754,3447,37.766402,-77.73505,obstacle,0.7353,0.0,LOW,110,0.5584,
735,2312,3450,37.764458,-78.185218,obstacle,0.7931,0.0,MEDIUM,104,0.5503,
736,2058,3453,37.762514,-78.443911,obstacle,0.875,0.0,MEDIUM,111,0.5495,
737,3348,3466,37.75409,-77.130074,obstacle,0.8361,0.0,MEDIUM,109,0.559,
738,7344,3467,37.753442,-73.060236,obstacle,0.8382,0.0,MEDIUM,109,0.5619,
739,2233,3468,37.752794,-78.265677,obstacle,0.7059,0.0,LOW,110,0.5612,
740,3375,3482,37.743723,-77.102575,obstacle,0.7812,0.0,MEDIUM,106,0.5436,
741,3045,3495,37.735299,-77.438673,obstacle,0.9836,0.0,HIGH,106,0.5521,
742,4157,3499,37.732707,-76.306125,obstacle,0.7794,0.0,MEDIUM,111,0.5663,
743,2676,3505,37.728819,-77.814491,obstacle,0.7353,0.0,LOW,110,0.5729,
744,1891,3506,37.728171,-78.613997,obstacle,0.7353,0.0,LOW,108,0.5538,
745,1712,3508,37.726875,-78.796304,obstacle,0.8382,0.0,MEDIUM,116,0.5829,
746,1988,3526,37.715211,-78.515204,obstacle,0.8088,0.0,MEDIUM,111,0.5635,
747,3482,3529,37.713267,-76.993598,obstacle,0.8281,0.0,MEDIUM,107,0.5431,
748,2272,3534,37.710028,-78.225957,obstacle,0.8088,0.0,MEDIUM,121,0.5789,
749,2231,3536,37.708732,-78.267714,obstacle,0.8088,0.0,MEDIUM,111,0.5635,
750,1962,3538,37.707436,-78.541685,obstacle,0.8824,0.0,MEDIUM,110,0.5584,
751,1807,3539,37.706788,-78.699549,obstacle,0.8382,0.0,MEDIUM,113,0.565,
752,3250,3544,37.703548,-77.229885,obstacle,0.8676,0.0,MEDIUM,111,0.5495,
753,3604,3548,37.700956,-76.869344,obstacle,0.6575,0.0,LOW,120,0.566,
754,2070,3554,37.697068,-78.431689,obstacle,0.9508,0.0,HIGH,113,0.5736,
755,3130,3557,37.695124,-77.352102,obstacle,0.9688,0.0,HIGH,130,0.6075,
756,1730,3562,37.691884,-78.777972,obstacle,0.6912,0.0,LOW,113,0.5825,
757,3528,3566,37.689292,-76.946748,obstacle,0.9412,0.0,HIGH,113,0.5459,
758,1659,3569,37.687348,-78.850284,obstacle,0.8235,0.0,MEDIUM,115,0.575,
759,7249,3580,37.68022,-73.156991,obstacle,0.8361,0.0,MEDIUM,102,0.5574,
760,1841,3582,37.678924,-78.664921,obstacle,0.8906,0.0,MEDIUM,107,0.5404,
761,3321,3586,37.676332,-77.157573,obstacle,0.8438,0.0,MEDIUM,119,0.592,
762,2754,3591,37.673092,-77.73505,obstacle,0.7059,0.0,LOW,108,0.5625,
763,7561,3591,37.673092,-72.839226,obstacle,0.8511,0.0,MEDIUM,185,0.5041,
764,2356,3599,37.667909,-78.140404,obstacle,0.7209,0.0,LOW,69,0.552,
765,1545,3600,37.667261,-78.96639,obstacle,0.9344,0.0,HIGH,109,0.5619,
766,2970,3605,37.664021,-77.515059,obstacle,0.8824,0.0,MEDIUM,108,0.5538,
767,3339,3608,37.662077,-77.139241,obstacle,0.7536,0.0,MEDIUM,120,0.5769,
768,1645,3609,37.661429,-78.864542,obstacle,0.8438,0.0,MEDIUM,107,0.5515,
769,2677,3614,37.658189,-77.813473,obstacle,0.7941,0.0,MEDIUM,105,0.5469,
770,1611,3617,37.656245,-78.899171,obstacle,0.7536,0.0,MEDIUM,110,0.5584,
771,3403,3625,37.651061,-77.074058,obstacle,0.8525,0.0,MEDIUM,104,0.5503,
772,2889,3634,37.645229,-77.597556,obstacle,0.7246,0.0,LOW,115,0.5693,
773,1830,3636,37.643933,-78.676124,obstacle,0.8676,0.0,MEDIUM,116,0.5659,
774,2104,3638,37.642637,-78.397061,obstacle,0.8261,0.0,MEDIUM,109,0.5396,
775,4032,3646,37.637453,-76.433435,obstacle,0.8261,0.0,MEDIUM,125,0.5869,
776,3013,3648,37.636157,-77.471264,obstacle,0.8088,0.0,MEDIUM,107,0.5404,
777,4046,3657,37.630326,-76.419176,obstacle,0.8676,0.0,MEDIUM,110,0.5556,
778,3402,3660,37.628382,-77.075076,obstacle,0.6301,0.0,LOW,117,0.5625,
779,2198,3668,37.623198,-78.301324,obstacle,0.8088,0.0,MEDIUM,123,0.6119,
780,2759,3677,37.617366,-77.729958,obstacle,0.8235,0.0,MEDIUM,101,0.5206,
781,2173,3678,37.616718,-78.326786,obstacle,0.918,0.0,HIGH,107,0.5431,
782,2842,3678,37.616718,-77.645424,obstacle,0.8382,0.0,MEDIUM,118,0.593,
783,3533,3679,37.61607,-76.941656,obstacle,0.7681,0.0,MEDIUM,111,0.5441,
784,1539,3686,37.611534,-78.972501,obstacle,0.9344,0.0,HIGH,109,0.559,
785,2954,3687,37.610886,-77.531355,obstacle,0.8689,0.0,MEDIUM,103,0.5337,
786,1805,3690,37.608942,-78.701586,obstacle,0.7826,0.0,MEDIUM,123,0.5913,
787,3141,3693,37.606998,-77.340899,obstacle,0.8525,0.0,MEDIUM,102,0.5635,
788,2402,3700,37.602462,-78.093554,obstacle,0.9344,0.0,HIGH,103,0.545,
789,3104,3703,37.600518,-77.378583,obstacle,0.8382,0.0,MEDIUM,110,0.5699,
790,2797,3707,37.597926,-77.691256,obstacle,0.8298,0.0,MEDIUM,177,0.5237,
791,4112,3722,37.588207,-76.351957,obstacle,0.7759,0.0,MEDIUM,103,0.5479,
792,2131,3730,37.583023,-78.369562,obstacle,0.8197,0.0,MEDIUM,106,0.5638,
793,3413,3730,37.583023,-77.063873,obstacle,0.75,0.0,MEDIUM,106,0.5492,
794,2474,3731,37.582375,-78.020224,obstacle,0.918,0.0,HIGH,108,0.5596,
795,2495,3733,37.581079,-77.998836,obstacle,0.6618,0.0,LOW,107,0.5691,
796,2106,3751,37.569415,-78.395024,obstacle,0.7941,0.0,MEDIUM,113,0.5594,
797,1521,3765,37.560343,-78.990834,obstacle,0.8525,0.0,MEDIUM,106,0.5579,
798,3444,3772,37.555808,-77.0323,obstacle,0.7536,0.0,MEDIUM,121,0.5874,
799,2032,3785,37.547384,-78.470391,obstacle,0.8235,0.0,MEDIUM,105,0.5469,
800,3477,3786,37.546736,-76.998691,obstacle,0.75,0.0,MEDIUM,107,0.5544,
801,2176,3791,37.543496,-78.323731,obstacle,0.918,0.0,HIGH,106,0.5436,
802,2780,3809,37.531832,-77.70857,obstacle,0.8689,0.0,MEDIUM,104,0.5683,
803,2946,3812,37.529888,-77.539502,obstacle,0.7541,0.0,MEDIUM,102,0.5455,
804,4053,3817,37.526648,-76.412047,obstacle,0.918,0.0,HIGH,108,0.5427,
805,1979,3827,37.520168,-78.524371,obstacle,0.8852,0.0,MEDIUM,109,0.5369,
806,1908,3829,37.518873,-78.596683,obstacle,1.0,0.0,HIGH,124,0.6019,
807,1714,3836,37.514337,-78.794267,obstacle,0.8088,0.0,MEDIUM,106,0.5381,
808,1879,3838,37.513041,-78.626219,obstacle,0.8676,0.0,MEDIUM,121,0.599,
809,3460,3838,37.513041,-77.016005,obstacle,0.9344,0.0,HIGH,109,0.5477,
810,3159,3857,37.500729,-77.322567,obstacle,0.8689,0.0,MEDIUM,108,0.5714,
811,1525,3869,37.492953,-78.98676,obstacle,0.7188,0.0,LOW,104,0.5445,
812,1805,3870,37.492305,-78.701586,obstacle,0.8696,0.0,MEDIUM,120,0.5742,
813,2327,3885,37.482585,-78.16994,obstacle,0.9344,0.0,HIGH,107,0.5544,
814,1630,3886,37.481937,-78.87982,obstacle,0.8676,0.0,MEDIUM,109,0.5423,
815,1936,3893,37.477402,-78.568165,obstacle,0.9344,0.0,HIGH,108,0.551,
816,4062,3897,37.47481,-76.402881,obstacle,0.8525,0.0,MEDIUM,109,0.5767,
817,1746,3904,37.470274,-78.761676,obstacle,0.8529,0.0,MEDIUM,111,0.5522,
818,2350,3910,37.466386,-78.146515,obstacle,0.8689,0.0,MEDIUM,105,0.5556,
819,3157,3912,37.46509,-77.324604,obstacle,0.8676,0.0,MEDIUM,118,0.5813,
820,4044,3913,37.464442,-76.421213,obstacle,0.8906,0.0,MEDIUM,114,0.5561,
821,3051,3920,37.459906,-77.432562,obstacle,0.7353,0.0,LOW,111,0.5495,
822,3497,3925,37.456666,-76.978321,obstacle,0.8852,0.0,MEDIUM,113,0.5256,
823,4029,3925,37.456666,-76.436491,obstacle,0.8889,0.0,MEDIUM,95,0.546,
824,2016,3935,37.450186,-78.486687,obstacle,0.8906,0.0,MEDIUM,109,0.5477,
825,2450,3937,37.44889,-78.044668,obstacle,0.75,0.0,MEDIUM,104,0.5226,
826,3314,3940,37.446946,-77.164702,obstacle,0.918,0.0,HIGH,114,0.5729,
827,2404,3941,37.446298,-78.091518,obstacle,0.8525,0.0,MEDIUM,110,0.5699,
828,1654,3942,37.44565,-78.855376,obstacle,0.8235,0.0,MEDIUM,108,0.5596,
829,2620,3945,37.443706,-77.871526,obstacle,0.8689,0.0,MEDIUM,104,0.5591,
830,1866,3947,37.44241,-78.639459,obstacle,0.8676,0.0,MEDIUM,116,0.5743,
831,2767,3952,37.439171,-77.72181,obstacle,0.7206,0.0,LOW,112,0.5773,
832,2696,3964,37.431395,-77.794122,obstacle,0.7647,0.0,MEDIUM,108,0.5567,
833,1521,3970,37.427507,-78.990834,obstacle,0.8852,0.0,MEDIUM,113,0.5765,
834,1725,3970,37.427507,-78.783064,obstacle,0.7869,0.0,MEDIUM,99,0.5266,
835,3314,3978,37.422323,-77.164702,obstacle,0.8529,0.0,MEDIUM,113,0.5622,
836,2643,3981,37.420379,-77.848101,obstacle,0.8594,0.0,MEDIUM,106,0.5436,
837,2105,3994,37.411955,-78.396042,obstacle,0.8361,0.0,MEDIUM,107,0.5602,
838,2859,3994,37.411955,-77.62811,obstacle,0.7353,0.0,LOW,118,0.593,
839,1644,3998,37.409363,-78.865561,obstacle,0.8525,0.0,MEDIUM,103,0.5309,
840,1982,4001,37.407419,-78.521315,obstacle,0.6557,0.0,LOW,97,0.5272,
841,3381,4007,37.403532,-77.096464,obstacle,0.7536,0.0,MEDIUM,109,0.5533,
842,2707,4011,37.40094,-77.782919,obstacle,0.9344,0.0,HIGH,106,0.5436,
843,2566,4012,37.400292,-77.926524,obstacle,0.6765,0.0,LOW,100,0.5155,
844,2259,4013,37.399644,-78.239197,obstacle,0.7353,0.0,LOW,112,0.5657,
845,2500,4038,37.383444,-77.993744,obstacle,0.9672,0.0,HIGH,105,0.5526,
846,2940,4044,37.379556,-77.545613,obstacle,0.7536,0.0,MEDIUM,116,0.5577,
847,2226,4045,37.378908,-78.272807,obstacle,0.7812,0.0,MEDIUM,118,0.5871,
848,2567,4050,37.375668,-77.925506,obstacle,0.9016,0.0,HIGH,104,0.5417,
849,4032,4050,37.375668,-76.433435,obstacle,0.9344,0.0,HIGH,107,0.5404,
850,2508,4064,37.366596,-77.985596,obstacle,0.9344,0.0,HIGH,110,0.5641,
851,2315,4070,37.362709,-78.182162,obstacle,0.9344,0.0,HIGH,106,0.555,
852,3434,4073,37.360765,-77.042485,obstacle,0.913,0.0,HIGH,122,0.581,
853,3019,4076,37.358821,-77.465153,obstacle,0.8852,0.0,MEDIUM,109,0.5369,
854,1825,4079,37.356877,-78.681216,obstacle,0.7971,0.0,MEDIUM,116,0.5714,
855,2409,4080,37.356229,-78.086425,obstacle,0.7391,0.0,LOW,116,0.5714,
856,2112,4081,37.355581,-78.388913,obstacle,0.7794,0.0,MEDIUM,114,0.5672,
857,1545,4092,37.348453,-78.96639,obstacle,0.8261,0.0,MEDIUM,122,0.5837,
858,3105,4097,37.345213,-77.377564,obstacle,0.9219,0.0,HIGH,119,0.5721,
859,2388,4098,37.344565,-78.107813,obstacle,0.8197,0.0,MEDIUM,102,0.5204,
860,1936,4104,37.340677,-78.568165,obstacle,0.6912,0.0,LOW,104,0.5417,
861,7123,4108,37.338085,-73.285319,obstacle,0.8784,0.0,MEDIUM,143,0.6137,
862,4038,4114,37.334197,-76.427324,obstacle,0.7647,0.0,MEDIUM,104,0.5333,
863,2702,4115,37.333549,-77.788011,obstacle,0.7353,0.0,LOW,104,0.5389,
864,3081,4117,37.332253,-77.402008,obstacle,0.7647,0.0,MEDIUM,111,0.5635,
865,3824,4120,37.330309,-76.645279,obstacle,0.5,0.0,MARGINAL,88,0.6154,
866,7395,4121,37.329661,-73.008293,obstacle,0.8689,0.0,MEDIUM,96,0.5333,
867,1892,4125,37.327069,-78.612978,obstacle,0.8971,0.0,MEDIUM,115,0.561,
868,3174,4125,37.327069,-77.307289,obstacle,0.8852,0.0,MEDIUM,110,0.5699,
869,1796,4126,37.326422,-78.710752,obstacle,0.8033,0.0,MEDIUM,109,0.5677,
870,1854,4128,37.325126,-78.65168,obstacle,0.8793,0.0,MEDIUM,110,0.5699,
871,2381,4128,37.325126,-78.114943,obstacle,0.7941,0.0,MEDIUM,112,0.5714,
872,3092,4146,37.313462,-77.390805,obstacle,0.8382,0.0,MEDIUM,118,0.593,
873,7431,4146,37.313462,-72.971628,obstacle,0.5882,0.0,LOW,114,0.5377,
874,2513,4157,37.306334,-77.980503,obstacle,0.8511,0.0,MEDIUM,185,0.5241,
875,2344,4158,37.305686,-78.152626,obstacle,0.9344,0.0,HIGH,111,0.5722,
876,2557,4159,37.305038,-77.93569,obstacle,0.918,0.0,HIGH,107,0.5515,
877,2369,4168,37.299206,-78.127164,obstacle,0.8689,0.0,MEDIUM,104,0.5389,
878,2771,4181,37.290782,-77.717736,obstacle,0.9118,0.0,HIGH,114,0.5588,
879,2328,4184,37.288838,-78.168922,obstacle,0.7206,0.0,LOW,107,0.5573,
880,2805,4191,37.284303,-77.683108,obstacle,0.8529,0.0,MEDIUM,121,0.602,
881,1602,4195,37.281711,-78.908337,obstacle,0.8197,0.0,MEDIUM,110,0.5641,
882,2088,4196,37.281063,-78.413357,obstacle,0.9016,0.0,HIGH,106,0.5436,
883,2534,4198,37.279767,-77.959115,obstacle,0.8525,0.0,MEDIUM,107,0.5245,
884,7163,4199,37.279119,-73.24458,obstacle,0.76,0.0,MEDIUM,156,0.5436,
885,2070,4204,37.275879,-78.431689,obstacle,0.7246,0.0,LOW,106,0.5408,
886,3003,4204,37.275879,-77.481449,obstacle,0.8971,0.0,MEDIUM,118,0.5813,
887,2727,4208,37.273287,-77.762549,obstacle,0.7812,0.0,MEDIUM,107,0.5515,
888,2538,4217,37.267455,-77.955041,obstacle,0.75,0.0,MEDIUM,108,0.5567,
889,2288,4225,37.262271,-78.209661,obstacle,0.8852,0.0,MEDIUM,111,0.5663,
890,2617,4228,37.260327,-77.874582,obstacle,0.6438,0.0,LOW,122,0.5837,
891,2861,4234,37.256439,-77.626073,obstacle,0.918,0.0,HIGH,102,0.5574,
892,2233,4245,37.249312,-78.265677,obstacle,0.6957,0.0,LOW,119,0.5667,
893,2525,4248,37.247368,-77.968282,obstacle,0.8088,0.0,MEDIUM,109,0.5533,
894,2851,4256,37.242184,-77.636258,obstacle,0.8382,0.0,MEDIUM,106,0.5327,
895,2196,4265,37.236352,-78.303361,obstacle,0.8525,0.0,MEDIUM,110,0.567,
896,1667,4267,37.235056,-78.842136,obstacle,0.7353,0.0,LOW,98,0.5269,
897,3502,4276,37.229224,-76.973229,obstacle,0.8515,0.0,MEDIUM,207,0.5595,
898,1738,4297,37.215616,-78.769824,obstacle,0.8361,0.0,MEDIUM,101,0.5459,
899,3265,4298,37.214968,-77.214608,obstacle,0.7206,0.0,LOW,105,0.544,
900,3366,4303,37.211728,-77.111742,obstacle,0.8438,0.0,MEDIUM,120,0.5882,
901,1781,4307,37.209137,-78.726029,obstacle,0.8382,0.0,MEDIUM,114,0.57,
902,2191,4314,37.204601,-78.308453,obstacle,0.8986,0.0,MEDIUM,117,0.568,
903,2756,4330,37.194233,-77.733013,obstacle,0.7206,0.0,LOW,107,0.5544,
904,1915,4333,37.192289,-78.589553,obstacle,0.8689,0.0,MEDIUM,106,0.573,
905,2286,4335,37.190993,-78.211698,obstacle,0.8529,0.0,MEDIUM,112,0.5545,
906,2367,4342,37.186457,-78.129201,obstacle,0.8689,0.0,MEDIUM,104,0.5389,
907,3327,4342,37.186457,-77.151462,obstacle,0.8529,0.0,MEDIUM,111,0.555,
908,2141,4345,37.184513,-78.359377,obstacle,0.6765,0.0,LOW,101,0.5344,
909,2163,4349,37.181921,-78.336971,obstacle,0.8676,0.0,MEDIUM,106,0.53,
910,3406,4355,37.178033,-77.071002,obstacle,0.8197,0.0,MEDIUM,104,0.5389,
911,1514,4358,37.176089,-78.997963,obstacle,0.8382,0.0,MEDIUM,106,0.5521,
912,1843,4361,37.174145,-78.662884,obstacle,0.6957,0.0,LOW,101,0.5153,
913,3361,4366,37.170906,-77.116834,obstacle,0.8088,0.0,MEDIUM,109,0.5477,
914,7364,4373,37.16637,-73.039866,obstacle,0.75,0.0,MEDIUM,153,0.5604,
915,2685,4375,37.165074,-77.805325,obstacle,0.8529,0.0,MEDIUM,104,0.5333,
916,1855,4382,37.160538,-78.650662,obstacle,0.8689,0.0,MEDIUM,102,0.5574,
917,3913,4383,37.15989,-76.554634,obstacle,0.6667,0.5,LOW,91,0.6149,
918,3198,4384,37.159242,-77.282846,obstacle,0.9016,0.0,HIGH,109,0.5767,
919,7384,4384,37.159242,-73.019497,obstacle,0.7941,0.0,MEDIUM,111,0.5635,
920,3640,4385,37.158594,-76.832679,obstacle,0.5529,0.0,LOW,160,0.5461,
921,7550,4391,37.154706,-72.850429,obstacle,0.7525,0.0,MEDIUM,188,0.5054,
922,2092,4394,37.152762,-78.409283,obstacle,0.7059,0.0,LOW,105,0.5497,
923,3248,4401,37.148226,-77.231922,obstacle,0.7941,0.0,MEDIUM,106,0.5222,
924,1607,4405,37.145634,-78.903245,obstacle,0.6765,0.0,LOW,104,0.5503,
925,2095,4418,37.13721,-78.406227,obstacle,0.8971,0.0,MEDIUM,104,0.5306,
926,3374,4418,37.13721,-77.103594,obstacle,0.9016,0.0,HIGH,108,0.5427,
927,2067,4421,37.135266,-78.434745,obstacle,0.7647,0.0,MEDIUM,106,0.5436,
928,7368,4421,37.135266,-73.035792,obstacle,0.8676,0.0,MEDIUM,119,0.5833,
929,7865,4427,37.131379,-72.529609,obstacle,0.8687,0.0,MEDIUM,204,0.5469,
930,3349,4430,37.129435,-77.129056,obstacle,0.8966,0.0,MEDIUM,113,0.5825,
931,1997,4431,37.128787,-78.506038,obstacle,0.8689,0.0,MEDIUM,102,0.5484,
932,3460,4447,37.118419,-77.016005,obstacle,0.7945,0.0,MEDIUM,134,0.6119,
933,8089,4449,37.117123,-72.30147,obstacle,0.8621,0.0,MEDIUM,109,0.5648,
